date,ozone,smog,air pollution,haze,soot,ozone.1,code orange,code red,O3,smoke,ozone.2,cough,wheezing,snoring,asthma,ozone.3,difficulty breathing,lung irritation,COPD,inhaler,ozone.4,bronchiolitis,irregular heartbeat,chest pain,heart murmur,DATE,O3_M8_SCH1
1/27/07,0,0,0,0,0,27.93707865,0,0,0,20.65731776,61.38474771,37.40963855,0,33.8289829,0,33.40551724,0,,0,0,29.42871094,0,0,0,0,1/27/07,34.2
1/28/07,39.79684657,0,36.54212454,33.47456317,0,0,0,0,0,0,0,36.24058735,0,0,58.25968013,33.40551724,0,,36.53027823,0,0,0,28.81509434,0,0,1/28/07,33.22
1/29/07,37.14372347,0,22.68131868,0,0,17.46067416,0,0,0,22.2463422,36.83084862,45.59299699,0,21.14311431,63.8082211,20.55724138,0,,22.61398176,0,17.41699219,14.76363636,0,16.60593441,0,1/29/07,23.17
1/30/07,49.08277744,0,22.68131868,0,0,13.96853933,0,14.66666667,0,47.6707333,36.83084862,45.59299699,0,21.14311431,36.06551627,41.11448276,0,,0,0,17.41699219,0,0,16.60593441,19.08225108,1/30/07,31.95
1/31/07,37.14372347,24.18181818,0,21.20055667,26.30769231,17.46067416,0,10.66666667,0,23.83536665,56.66284404,0,0,0,18.49513655,21.4137931,0,,0,0,27.02636719,0,0,0,0,1/31/07,18.57
2/1/07,23.87810794,0,0,40.1694758,0,10.47640449,0,0,0,17.47926888,54.77408257,33.90248494,0,0,17.57037972,41.97103448,0,,0,0,17.41699219,0,0,0,0,2/1/07,17.12
2/2/07,51.73590055,49.63636364,23.94139194,21.20055667,0,19.20674157,0,0,0,15.89024443,38.71961009,24.5500753,0,0,19.41989338,22.27034483,0,,0,0,37.23632813,0,0,0,0,2/2/07,15.49
2/3/07,75.61400849,0,0,0,0,0,0,17.33333333,0,36.54756219,29.27580275,36.24058735,0,0,28.66746165,0,0,,36.53027823,0,55.85449219,23.41818182,0,0,0,2/3/07,35.39
2/4/07,39.79684657,38.18181818,0,66.94912633,0,27.93707865,0,18.66666667,0,30.19146442,30.22018349,54.94540663,0,33.8289829,58.25968013,0,0,,0,36.32911392,28.828125,0,0,26.91306611,0,2/4/07,34.39
2/5/07,25.2046695,0,0,21.20055667,26.30769231,0,17.8125,0,0,27.01341553,19.83199541,24.5500753,0,22.20027003,37.91502993,21.4137931,0,,0,0,18.61816406,15.78181818,0,0,0,2/5/07,27.2
2/6/07,23.87810794,0,23.94139194,41.28529457,26.30769231,0,0,0,0,20.65731776,0,45.59299699,0,21.14311431,17.57037972,0,0,,0,0,0,0,0,16.60593441,0,2/6/07,31.2
2/7/07,25.2046695,0,0,20.0847379,0,10.47640449,0,0,0,36.54756219,0,35.07153614,0,21.14311431,36.06551627,0,0,,22.61398176,23.35443038,0,0,0,0,0,2/7/07,48.5
2/8/07,50.40933899,0,23.94139194,21.20055667,0,0,0,0,0,38.13658664,18.88761468,23.3810241,0,0,36.9902731,62.52827586,0,,0,23.35443038,0,0,18.79245283,16.60593441,0,2/8/07,
2/9/07,25.2046695,0,0,64.71748879,0,0,0,0,13.33333333,22.2463422,19.83199541,36.24058735,0,22.20027003,37.91502993,21.4137931,0,,0,0,0,0,0,0,0,2/9/07,16.11
2/10/07,38.47028502,0,0,64.71748879,0,27.93707865,0,0,0,19.06829332,0,36.24058735,0,32.77182718,28.66746165,0,0,,0,0,27.62695313,0,0,0,30.26839827,2/10/07,28.63
2/11/07,39.79684657,38.18181818,0,33.47456317,0,0,0,0,0,25.42439109,30.22018349,93.52409639,0,0,59.18443696,33.40551724,0,,0,0,28.828125,0,0,0,31.58441558,2/11/07,27.24
2/12/07,0,0,0,21.20055667,0,0,0,0,0,25.42439109,0,23.3810241,0,0,18.49513655,20.55724138,0,,0,0,0,0,0,0,0,2/12/07,31.66
2/13/07,47.75621589,0,22.68131868,20.0847379,0,17.46067416,0,0,0,14.30121999,17.94323395,44.42394578,0,20.0859586,35.14075945,29.97931034,23.44186047,,21.74421323,0,25.22460938,0,17.53962264,24.04997397,0,2/13/07,16.58
2/14/07,0,0,0,20.0847379,0,10.47640449,0,0,0,22.2463422,18.88761468,46.76204819,0,21.14311431,18.49513655,20.55724138,0,,0,22.48945148,17.41699219,0,0,17.17855284,19.74025974,2/14/07,19.25
2/15/07,25.2046695,0,0,43.51693212,0,0,0,0,0,28.60243998,49.10779817,72.4811747,0,22.20027003,38.83978676,31.69241379,0,,23.48375029,0,27.62695313,0,0,17.75117127,0,2/15/07,22.09
2/16/07,0,0,0,0,0,0,0,0,0,54.02683107,40.60837156,24.5500753,0,0,39.76454358,45.39724138,0,,25.22328735,0,0,0,0,0,0,2/16/07,23.74
2/17/07,0,0,0,33.47456317,0,0,0,0,0,33.36951331,0,0,34.62461538,0,29.59221848,0,0,,0,0,0,0,0,0,0,2/17/07,38.56
2/18/07,0,0,0,0,0,0,0,0,0,0,61.38474771,75.98832831,0,0,29.59221848,0,0,,0,0,0,0,29.44150943,0,0,2/18/07,35.65
2/19/07,26.53123105,0,0,22.31637544,0,12.22247191,0,13.33333333,0,15.89024443,19.83199541,49.1001506,0,0,38.83978676,22.27034483,0,,0,0,36.63574219,0,0,17.75117127,0,2/19/07,36.41
2/20/07,0,0,23.94139194,0,0,0,0,0,0,22.2463422,18.88761468,35.07153614,0,0,27.74270483,0,0,,22.61398176,0,0,0,0,0,0,2/20/07,35.73
2/21/07,25.2046695,0,23.94139194,21.20055667,0,19.20674157,0,0,0,28.60243998,18.88761468,35.07153614,0,0,27.74270483,41.97103448,0,,23.48375029,0,17.41699219,0,0,16.60593441,19.08225108,2/21/07,
2/22/07,0,0,49.14285714,21.20055667,0,17.46067416,0,0,0,57.20487995,38.71961009,36.24058735,23.45538462,0,28.66746165,21.4137931,0,,24.35351882,0,18.61816406,0,0,0,0,2/22/07,
2/23/07,26.53123105,25.45454545,0,22.31637544,0,19.20674157,0,0,21.66666667,20.65731776,40.60837156,50.26920181,0,0,20.34465021,22.27034483,0,,25.22328735,0,19.21875,0,0,0,21.05627706,2/23/07,29.75
2/24/07,39.79684657,0,37.8021978,33.47456317,0,22.6988764,0,0,0,30.19146442,30.22018349,37.40963855,0,0,0,35.11862069,0,,0,0,28.828125,0,0,0,0,2/24/07,42.53
2/25/07,0,0,0,50.21184475,0,17.46067416,0,0,0,58.7939044,30.22018349,74.81927711,0,0,44.38832772,33.40551724,0,,0,0,28.22753906,0,29.44150943,26.91306611,0,2/25/07,43.62
2/26/07,37.14372347,24.18181818,23.94139194,0,0,34.92134831,0,0,0,33.36951331,0,35.07153614,0,21.14311431,36.9902731,20.55724138,0,,22.61398176,0,35.43457031,0,0,25.19521083,0,2/26/07,42.49
2/27/07,0,0,0,30.12710685,0,0,0,0,0,12.71219555,18.88761468,0,0,0,26.817948,20.55724138,0,,0,22.48945148,35.43457031,14.76363636,0,16.60593441,19.08225108,2/27/07,37.04
2/28/07,49.08277744,22.90909091,0,41.28529457,0,0,0,0,0,39.72561108,18.88761468,58.45256024,22.33846154,0,18.49513655,41.11448276,0,,23.48375029,0,35.43457031,0,0,16.60593441,0,2/28/07,49.81
3/1/07,23.87810794,22.90909091,22.68131868,60.2542137,0,0,0,0,0,33.36951331,0,45.59299699,0,0,17.57037972,0,0,,33.05120412,0,17.41699219,0,0,32.63925039,19.08225108,3/1/07,41.45
3/2/07,25.2046695,0,23.94139194,0,0,0,0,0,0,15.89024443,19.83199541,0,0,0,0,0,0,,0,0,0,0,0,53.25351379,0,3/2/07,39.42
3/3/07,0,0,37.8021978,65.83330756,0,0,0,0,0,87.39634438,30.22018349,0,0,0,28.66746165,0,0,,0,0,0,0,0,0,0,3/3/07,47.05
